,Numero_finess,stjr,Points_ISA,Personnel médical,Internes,Personnels de direction et administratifs,Personnels techniques et ouvriers,Autre sans internes,Autre sans direction et administratif,Autre sans techniques et ouvriers
946,780130027,1,5098.133333333334,4.87,0.99,8.81,4.58,15.22,7.4,11.63
947,780150033,3,5098.133333333334,5.43,0.0,7.33,3.8,13.030000000000001,5.7,9.23
948,780150066,3,211559.46333333335,33.24,6.540000000000001,35.88,25.9,81.0,51.66,61.64000000000001
949,780300075,2,61384.6,12.2,0.0,40.1,21.67,70.85,30.75,49.18
950,780300125,2,70674.54499999998,17.3,0.0,19.3,3.0,,,
951,780300208,2,71285.655,31.7,0.0,29.96,4.44,43.61,13.650000000000002,39.17
952,780300323,2,136678.82499999995,39.5,3.0,27.83,3.59,40.28999999999999,15.46,39.699999999999996
953,780300406,2,286363.68500000006,74.8,0.0,33.94,7.93,,,
954,780300414,2,203307.5216666666,51.25,0.0,49.47,11.24,70.69999999999999,21.23,59.459999999999994
955,780300422,2,179191.91666666654,61.5,0.0,53.52,18.69,,,
956,780300455,2,57923.41499999998,30.85,0.0,34.7,9.5,,,
957,780630026,3,7500.639999999999,5.82,0.0,11.48,11.48,31.83,20.35,20.349999999999998
958,790000012,1,1045843.363333334,221.575,235.20000000000002,173.17999999999998,141.9,407.895,469.915,501.19499999999994
959,790006654,1,350598.6983333333,42.236666666666665,33.33,42.2925,62.985,145.1175,136.15499999999997,115.46249999999999
960,790009948,2,143150.8549999999,32.9,0.0,47.91,12.56,65.24,17.330000000000002,52.67999999999999
961,790019491,1,29399.68333333333,6.1850000000000005,0.44999999999999996,16.95,60.55,82.77,66.27,22.669999999999998
962,800000028,1,554807.548333333,124.92500000000001,62.083333333333336,50.343333333333334,114.07,231.86333333333332,243.60333333333332,179.87666666666667
963,800000036,1,9459.598333333335,9.559999999999999,2.0999999999999996,8.915000000000001,19.39,31.655,24.840000000000003,14.365
964,800000044,1,2862442.6433333345,364.17499999999995,676.83,194.815,256.68333333333334,587.3616666666667,1069.3766666666668,1007.5083333333334
965,800000069,1,67888.23833333333,30.60000000000001,28.17,43.64,31.52,93.95,78.48,90.6
966,800000077,1,9574.875000000002,16.854999999999997,0.0,21.65,32.6,64.75999999999999,43.11,32.16
967,800000085,1,46472.38833333332,22.35,8.424999999999999,15.535,17.479999999999997,52.04,44.92999999999999,42.985
968,800000093,1,104918.09333333332,38.25,13.47,14.91,41.54,68.83333333333333,67.39333333333333,40.763333333333335
969,800002503,2,70867.35499999998,21.0,0.0,28.63,17.53,,,
970,800009466,2,126027.16,28.5,0.0,34.1,19.27,,,
971,800009920,2,222900.6216666666,80.14,0.0,68.23,9.89,85.47,17.240000000000002,75.58
972,800013179,2,23986.21666666667,89.2,0.0,11.3,1.5,,,
973,800015729,2,66458.5,51.1,0.0,19.64,1.5,33.23,13.59,31.729999999999997
974,800018491,2,4113.4800000000005,8.0,0.0,2.2,,,,
975,810000224,2,232760.15166666664,48.65,0.0,44.05,12.2,68.35,24.299999999999997,56.15
976,810000331,1,398625.5283333334,106.56,75.0,146.74,81.22,296.84000000000003,225.1,290.62
977,810000349,1,21079.353333333333,6.26,0.0,15.87,36.95,58.56,42.690000000000005,21.61
978,810000380,1,607060.3483333329,139.26749999999998,97.77000000000001,44.974999999999994,56.93333333333333,122.57666666666665,175.37166666666667,163.41333333333336
979,810000398,1,5098.133333333334,1.6400000000000001,0.0,11.02,7.6,23.240000000000002,12.219999999999999,15.64
980,810000448,3,11719.553333333331,5.3100000000000005,0.0,12.85,5.5,21.15,8.3,15.65
981,810000455,1,74702.84333333332,55.040000000000006,17.49,80.99,91.81,236.04,172.54000000000002,161.72
982,810101170,2,102096.75999999998,24.310000000000002,0.0,33.13,5.86,48.760000000000005,15.629999999999999,42.900000000000006
983,810101444,2,120982.82,27.2,0.0,27.78,16.87,55.49000000000001,27.71,38.620000000000005
984,820000016,1,447386.8833333331,141.375,125.33999999999999,80.045,168.98,329.755,375.04999999999995,286.115
985,820000040,2,100775.02499999998,27.21,0.0,19.88,8.88,,,
986,820000057,2,265784.69666666666,69.16000000000001,0.0,47.76,19.46,77.5,29.740000000000002,58.04
987,820000065,2,24541.149999999998,28.34,0.0,12.75,1.0,,,
988,820004950,1,98941.10333333332,27.805,0.0,23.79,14.703333333333331,50.93333333333333,27.14333333333333,36.23
