,Numero_finess,Médecins libéraux,Autres personnels médicaux libéraux,Médecins salariés,Autres personnels médicaux salariés,Personnels de direction et administratifs,Personnels des services de soins,Personnels éducatifs et sociaux,Personnels médico-techniques,Personnels techniques et ouvriers,Points_ISA,stjr,Internes,Personnel médical,Personnel médical si LIB=0.1,Personnel médical si LIB=0.9
531,510000185,43.5,17.0,4.2,2.99,41.75,255.71,,9.64,1.75,171585.89166666666,2,0.0,67.69,19.29,116.08999999999999
532,510000227,0.0,0.0,0.4,0.6,7.8,23.3,,4.0,1.5,3624.85,2,0.0,1.0,1.0,1.0
533,510000243,6.0,8.5,1.0,1.33,11.33,48.37,,1.75,6.43,34633.22,2,0.0,16.83,5.23,28.43
534,510000516,0.0,0.0,26.950000000000003,11.4,96.29,184.37,2.2,79.9,19.75,83799.83833333332,3,0.0,38.35,38.35,38.35
535,510012040,15.0,2.0,9.85,1.0,16.57,134.02,7.67,2.0,2.35,25252.466666666667,2,0.75,27.85,14.25,41.45
536,510024979,63.0,26.5,0.0,0.0,48.64,562.47,,13.77,6.3,505478.1266666671,2,0.0,89.5,17.9,161.1
537,520780024,1.0,,3.9000000000000004,,14.47,77.78,4.6,1.95,21.55,2396.45,1,0.0,,,
538,520780032,0.0,0.0,33.199999999999996,11.77,45.28,192.705,3.465,44.77,57.48,167291.11999999997,1,18.03,44.97,44.97,44.97
539,520780040,3.5,,0.12,,7.05,36.85,0.06,,10.48,3026.32,1,0.0,,,
540,520780057,0.0,0.0,21.74,6.51,38.02,170.02,2.91,15.91,24.32,88997.56499999997,1,5.97,28.25,28.25,28.25
541,520780073,0.0,2.5,44.86999999999999,22.159999999999997,102.61,382.51,4.53,49.31,70.68,329502.09833333344,1,48.39,69.52999999999999,67.52999999999999,71.52999999999999
542,520780180,2.5,5.0,0.4,1.0,11.57,41.9,,1.0,,34737.24166666667,2,0.0,8.9,2.9,14.9
543,520780214,5.0,1.0,1.3,1.0,16.5,59.1,,,4.0,29492.25,2,0.0,8.3,3.5,13.100000000000001
544,530000025,0.0,0.5,30.095,14.299999999999999,28.510000000000005,210.17666666666665,3.605,18.33,28.549999999999997,262401.5299999999,1,25.185,44.894999999999996,44.495,45.294999999999995
545,530000058,6.0,0.0,0.2,0.8,15.85,91.37,0.5,3.75,30.61,7494.583333333334,1,0.0,7.0,2.2,11.799999999999999
546,530000066,6.0,0.0,1.1,0.6,14.66,48.99,0.5,4.0,40.93,5098.133333333334,1,0.0,7.699999999999999,2.9,12.499999999999998
547,530000074,3.0,1.5,33.75,20.63,127.55,314.495,6.79,35.48,65.215,245951.44333333336,1,19.950000000000003,58.879999999999995,55.28,62.480000000000004
548,530000371,0.0,0.0,74.18,42.21,226.08,1149.5,24.07,83.22,217.76,549565.0933333335,1,111.53999999999999,116.39000000000001,116.39000000000001,116.39000000000001
549,530007202,4.5,0.0,0.28,0.605,5.875,47.37,0.6549999999999999,0.9500000000000001,7.834999999999999,8012.263333333334,1,1.7399999999999998,5.385,1.7850000000000001,8.985
550,530031962,21.0,10.5,1.43,1.17,21.91,138.26,1.0,8.42,,115054.23166666667,2,0.0,34.1,8.9,59.30000000000001
551,540000049,2.5,3.0,27.269999999999996,10.45,26.16,139.07,1.48,7.045,33.07,153299.355,1,22.4,43.22,38.81999999999999,47.61999999999999
552,540000056,0.0,0.0,4.18,81.90999999999998,154.4,1052.94,59.62,10.58,164.1,895.9,1,111.0,86.08999999999997,86.08999999999997,86.08999999999997
553,540000072,0.0,,1.74,,1.9,50.8,1.05,0.22,6.0,5098.133333333334,3,1.5,,,
554,540000080,11.5,1.5,35.769999999999996,25.64,65.1,301.02,2.72,34.31,63.25,282916.47833333333,1,34.39,74.41,64.00999999999999,84.81
555,540000106,0.0,0.0,4.51,2.68,30.27,154.35,1.86,8.04,15.93,56335.653333333335,1,2.9699999999999998,7.1899999999999995,7.1899999999999995,7.1899999999999995
556,540000361,17.0,7.0,0.0,1.0,16.54,55.16,,2.93,1.92,43458.005,2,0.0,25.0,5.8,44.199999999999996
557,540000395,0.0,0.0,3.3800000000000003,0.85,13.6,106.05,1.6,2.26,21.32,8627.36,3,12.0,4.23,4.23,4.23
558,540000445,25.0,2.5,0.0,1.25,13.23,93.4,,5.09,4.4,102081.10000000002,2,0.0,28.75,6.75,50.75
559,540000452,11.0,19.0,1.83,2.3499999999999996,32.34,116.58,,5.05,4.58,89200.27499999998,2,3.0,34.18,10.18,58.18
560,540000478,50.5,27.0,0.0,3.0,52.59,417.72,0.47,15.22,20.49,262323.88000000006,2,15.0,80.5,18.5,142.5
561,540000486,37.5,21.5,5.4,5.34,55.74,485.71,1.0,12.23,12.54,382602.3116666668,2,12.0,69.74000000000001,22.54,116.94
562,540000767,1.0,0.0,22.08,16.05,44.18,189.935,6.164999999999999,41.19,81.52,219097.98833333323,1,33.96,39.129999999999995,38.33,39.93
563,540001096,3.0,0.5,21.86,16.2,100.65,383.15,8.8,14.53,23.94,248337.98833333323,3,24.0,41.56,38.760000000000005,44.36
564,540001104,0.0,0.0,3.72,0.52,9.85,46.08,1.6,0.93,2.87,17592.213333333333,3,3.0,4.24,4.24,4.24
565,540001286,0.0,0.0,45.739999999999995,19.9,122.43,274.49,1.81,121.45,45.8,226369.31333333332,3,2.46,65.63999999999999,65.63999999999999,65.63999999999999
566,540013224,10.5,20.0,0.44,1.3,24.61,141.59,,4.27,8.0,85187.54999999997,2,0.0,32.239999999999995,7.84,56.64
567,540023264,0.8333333333333334,0.0,139.13983333333334,82.354,124.60875000000001,589.3349999999999,8.625714285714285,127.79,211.91199999999998,3668298.378333333,1,249.9815476190476,222.3271666666667,221.6605,222.99383333333333
568,550000046,0.0,0.0,3.6599999999999997,2.6300000000000003,15.96,70.99,1.2,4.38,28.13,8143.053333333334,1,4.47,6.29,6.29,6.29
569,550000178,12.5,8.5,0.0,1.27,22.84,94.09,,,10.47,83122.43500000001,2,0.0,22.27,5.470000000000001,39.07
570,550003354,0.0,0.0,42.16,10.83,87.28,416.76,4.66,45.91,96.45,244115.23833333328,1,48.480000000000004,52.989999999999995,52.989999999999995,52.989999999999995
571,550006795,1.75,0.5,52.44,35.510000000000005,40.396,176.90800000000002,6.1499999999999995,20.826666666666664,43.182500000000005,470865.6783333335,1,59.42,90.2,88.4,92.0
572,560000044,0.0,0.0,21.990000000000002,11.82,71.32,375.18,2.92,23.06,73.04,279558.1950000001,1,25.740000000000002,33.81,33.81,33.81
573,560000085,0.0,0.0,0.6799999999999999,0.68,12.04,35.99,1.36,0.1,24.44,607.92,1,0.0,1.3599999999999999,1.3599999999999999,1.3599999999999999
574,560000184,0.0,0.0,19.419999999999998,4.73,28.88,152.95,3.9,4.75,24.3,81859.72333333333,3,0.0,24.15,24.15,24.15
575,560000259,2.0,,0.6000000000000001,,5.12,46.98,,,19.57,7494.583333333334,1,0.0,,,
576,560002933,15.0,1.5,13.120000000000001,27.630000000000003,73.7,282.0,,11.04,7.64,394900.3799999998,3,0.0,57.25,44.050000000000004,70.45000000000002
577,560002974,0.0,0.0,4.29,0.05,9.41,84.32,1.32,0.75,16.86,5098.133333333334,3,0.0,4.34,4.34,4.34
578,560005746,0.0,0.0,112.64916666666666,48.24666666666667,52.32666666666667,266.36,4.205714285714286,95.065,60.30333333333332,1315832.0183333338,1,110.685,160.89583333333331,160.89583333333331,160.89583333333331
579,560007510,6.0,9.0,0.0,1.0,11.38,51.05,,9.33,2.0,56199.49000000001,2,0.0,16.0,4.0,28.0
580,560008799,33.5,36.5,7.36,3.7,56.02,485.67,1.5,9.89,8.94,271306.6966666665,2,9.0,81.06,25.06,137.06
581,560014748,0.0,0.0,37.33333333333333,30.619999999999997,39.065,198.285,3.2533333333333334,28.56,42.3525,469107.6233333335,1,16.695,67.95333333333332,67.95333333333332,67.95333333333332
582,560023210,0.0,0.0,140.65,51.87,169.13000000000002,937.4649999999999,9.29,70.25,95.32,1280835.2333333334,1,124.5,192.52,192.52,192.52
583,570000026,0.0,0.0,1.5,0.75,6.97,30.53,,0.35,0.54,7331.27,3,0.0,2.25,2.25,2.25
584,570000083,10.0,8.5,1.0,2.0,35.15,121.06,,12.36,2.0,73557.55,2,0.0,21.5,6.7,36.3
585,570000141,0.0,0.0,1.7000000000000002,29.839999999999996,74.84,834.87,21.0,4.38,149.78,7607.485,1,25.650000000000002,31.539999999999996,31.539999999999996,31.539999999999996
586,570000158,0.0,0.0,52.95,25.6,57.665,342.845,1.39,31.355,26.745,499092.8083333333,1,53.0,78.55000000000001,78.55000000000001,78.55000000000001
587,570000166,0.0,0.0,2.6399999999999997,0.16,4.76,61.77,0.88,0.5,8.0,3142.92,3,0.0,2.8,2.8,2.8
588,570000216,11.0,3.5,46.06,14.020000000000001,95.75,414.53,2.56,35.97,20.86,458040.1433333333,3,2.16,74.58,62.98000000000001,86.17999999999999
589,570000356,6.0,10.0,0.0,2.0,24.6,101.87,0.19,3.0,6.0,64881.62,2,0.0,18.0,5.2,30.799999999999997
590,570000364,11.0,9.5,0.0,0.72,11.59,55.0,,1.0,11.53,40864.835,2,0.0,21.22,4.819999999999999,37.62
591,570000430,0.0,0.0,4.54,0.6,17.59,108.19,2.39,3.41,13.72,37118.84333333333,1,0.0,5.14,5.14,5.14
592,570000455,4.5,3.0,2.1799999999999997,1.01,5.58,49.61,0.3,0.8,6.9,7996.753333333334,3,0.0,10.69,4.6899999999999995,16.69
593,570000497,1.5,0.0,0.6,0.2,9.25,38.6,0.4,0.3,16.0,8416.853333333334,1,0.0,2.3000000000000003,1.0999999999999999,3.5
594,570000562,0.0,0.0,8.2,1.8,18.94,114.49,1.75,2.0,9.3,64864.79,3,0.0,10.0,10.0,10.0
595,570000596,0.0,0.0,21.27,17.35,126.89,246.61,,24.81,34.3,54040.66333333334,1,59.550000000000004,38.620000000000005,38.620000000000005,38.620000000000005
596,570000646,39.5,17.0,0.07,2.3,59.3,411.49,1.0,19.58,7.78,392015.0616666665,2,15.0,58.87,13.670000000000002,104.07
597,570000950,3.0,0.5,6.25,1.0,16.76,57.95,1.0,3.59,18.95,72795.37833333334,3,4.0200000000000005,10.75,7.949999999999999,13.549999999999999
598,570001057,0.0,0.0,28.38,11.92,61.27,320.02,5.5,25.53,7.0,245860.74000000008,3,6.24,40.3,40.3,40.3
599,570001099,0.0,0.0,10.88,3.0,98.02,152.7,,,8.62,34310.20333333333,3,1.44,13.88,13.88,13.88
600,570003079,0.0,0.0,9.3,0.8,23.15,148.6,2.0,2.95,2.6,66151.91333333333,3,15.0,10.100000000000001,10.100000000000001,10.100000000000001
601,570005165,0.0,0.0,127.57333333333332,79.42333333333332,134.676,588.598,8.212,164.29,93.755,2315390.133333334,1,137.06666666666666,206.99666666666664,206.99666666666664,206.99666666666664
602,570009670,0.0,0.0,4.58,1.22,13.2,81.25,1.0,1.5,4.0,13873.523333333334,3,1.5,5.8,5.8,5.8
603,570015099,0.0,0.0,32.38,18.419999999999998,70.76,363.63,1.86,37.51,39.12,275554.0333333333,1,34.08,50.8,50.8,50.8
604,570025254,4.0,0.5,56.75,22.6,53.5,313.725,2.46,43.83,35.0,373943.815,1,74.22,83.85,80.25,87.45000000000002
605,570026252,0.0,0.0,39.660000000000004,30.459999999999997,110.53,546.64,1.0,32.88,34.13,734574.0200000003,3,11.22,70.12,70.12,70.12
606,580780039,0.0,0.0,94.355,54.00000000000001,78.44333333333334,368.7666666666667,10.11,42.01,70.33,756838.7083333334,1,38.85,148.35500000000002,148.35500000000002,148.35500000000002
607,580780047,1.5,0.5,4.99,1.85,8.23,60.42,1.52,2.54,6.97,5098.133333333334,1,0.0,8.84,7.24,10.44
608,580780070,0.0,0.0,15.849999999999998,1.6,19.02,82.13,0.5,7.0,16.75,41855.24333333334,1,4.74,17.45,17.45,17.45
609,580780088,0.0,,30.05,,24.23,138.62,1.0,2.21,20.45,39771.669999999984,1,0.0,,,
610,580780096,0.0,0.0,24.570000000000004,6.96,49.09,205.85,3.1,20.15,57.52,113750.82833333334,1,0.96,31.530000000000005,31.530000000000005,31.530000000000005
611,580780138,11.5,11.0,0.0,2.0,33.2,115.72,0.8,6.0,3.8,74920.5066666667,2,0.0,24.5,6.5,42.5
612,580780195,5.5,5.5,0.08,1.1900000000000002,17.65,51.49,,9.6,20.79,2617.05,2,0.0,12.27,3.4700000000000006,21.070000000000004
613,580781136,0.0,0.0,5.25,1.15,13.83,101.23,1.0,3.0,9.2,21157.7,1,0.0,6.4,6.4,6.4
614,590000188,0.0,0.0,65.28999999999999,30.020000000000003,156.98,337.78,2.8,177.53,63.54,255269.2200000001,3,0.0,95.31,95.31,95.31
615,590001749,0.0,0.0,18.29,3.6999999999999997,49.65,197.98,4.86,9.8,39.69,64831.53833333334,3,0.0,21.99,21.99,21.99
616,590006896,3.0,6.5,0.16,0.5,23.15,39.04,,1.63,9.5,52672.15999999999,2,0.0,10.16,2.56,17.76
617,590008041,31.5,12.0,5.0,2.11,45.64,282.05,1.1,,7.3,270187.8816666667,2,0.0,50.61,15.81,85.41
618,590049565,0.0,0.0,5.12,1.0,12.02,95.19,2.12,1.0,1.28,5098.133333333334,3,6.0,6.12,6.12,6.12
619,590052056,11.0,12.0,1.81,1.96,40.58,142.07,0.31,4.99,7.67,111476.2283333333,3,0.0,26.770000000000003,8.370000000000001,45.169999999999995
